,1,5,10,22
RW,6.57324920214527,15.004520909138913,20.94686123209632,31.61338757492505
DNS-diff,10.779642276198254,17.212834877129094,22.69742384292996,33.780773642286135
AE+VAR,14.225321795106982,19.514544587152937,24.503523505057988,34.91226863362933
LSTM,23.327385974533403,26.91117880080645,31.5396402307167,41.6350227910463
AE+LSTM,30.99462347380723,34.23843997794867,38.21716847641205,48.32136377691719
N_common,10951.0,10951.0,10951.0,10951.0
